,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
0,NSRDB,693763,-,-,-,33.21,-97.14,-6,203,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,v3.0.1
1,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2009,1,1,16,0,241,56,707,4.3,16,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2009,1,1,16,30,150,45,589,3.9000000000000004,14,79.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2009,1,1,17,0,62,28,385,3.6,12,84.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2009,1,1,17,30,0,0,0,3.6,11,90.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2009,1,1,18,0,0,0,0,3.6,11,95.99000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2009,1,1,18,30,0,0,0,3.5,10,101.82000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2009,1,1,19,0,0,0,0,3.4000000000000004,10,107.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2009,1,1,19,30,0,0,0,3.4000000000000004,9,113.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2009,1,1,20,0,0,0,0,3.4000000000000004,9,120.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2009,1,1,20,30,0,0,0,3.4000000000000004,9,126.24000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2009,1,1,21,0,0,0,0,3.4000000000000004,9,132.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2009,1,1,21,30,0,0,0,3.3000000000000003,8,138.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2009,1,1,22,0,0,0,0,3.2,8,145.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2009,1,1,22,30,0,0,0,2.9000000000000004,7,151.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2009,1,1,23,0,0,0,0,2.7,7,157.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2009,1,1,23,30,0,0,0,2.6,6,162.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2009,1,2,0,0,0,0,0,2.5,6,167.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2009,1,2,0,30,0,0,0,2.6,6,169.67000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2009,1,2,1,0,0,0,0,2.8000000000000003,6,168.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2009,1,2,1,30,0,0,0,2.9000000000000004,5,163.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2009,1,2,2,0,0,0,0,3.0,5,158.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2009,1,2,2,30,0,0,0,2.9000000000000004,5,152.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2009,1,2,3,0,0,0,0,2.9000000000000004,5,146.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2009,1,2,3,30,0,0,0,2.6,4,139.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2009,1,2,4,0,0,0,0,2.4000000000000004,4,133.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2009,1,2,4,30,0,0,0,2.3000000000000003,4,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2009,1,2,5,0,0,0,0,2.2,4,121.07000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2009,1,2,5,30,0,0,0,2.1,4,114.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2009,1,2,6,0,0,0,0,2.0,4,108.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2009,1,2,6,30,0,0,0,1.9000000000000001,3,102.82000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2009,1,2,7,0,0,0,0,1.9000000000000001,3,96.96000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2009,1,2,7,30,0,0,0,2.2,4,91.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2009,1,2,8,0,50,24,361,2.6,5,85.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2009,1,2,8,30,136,40,584,2.5,6,80.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2009,1,2,9,0,229,51,711,2.4000000000000004,7,75.57000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2009,1,2,9,30,317,59,792,2.2,9,70.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2009,1,2,10,0,398,64,848,2.1,11,66.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2009,1,2,10,30,467,68,885,2.2,12,63.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2009,1,2,11,0,524,71,912,2.4000000000000004,14,60.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2009,1,2,11,30,565,73,928,2.5,15,58.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2009,1,2,12,0,591,74,939,2.8000000000000003,17,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2009,1,2,12,30,601,75,942,2.9000000000000004,17,56.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2009,1,2,13,0,595,74,941,3.1,18,56.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2009,1,2,13,30,572,73,933,3.2,18,57.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
